word,avg_num_guesses 
arles,3.602159827213823 
spail,3.602159827213823 
soler,3.602159827213823 
spaer,3.602159827213823 
grate,3.6025917926565874
stone,3.602591792656588 
arpen,3.603023758099352 
stain,3.603023758099352 
ciels,3.603023758099352
corns,3.603023758099352
coset,3.603023758099352
coral,3.603023758099352
earns,3.603023758099352
canes,3.6034557235421167
ceils,3.6034557235421167
calos,3.6034557235421167
crena,3.6034557235421167
dotal,3.6034557235421167
soled,3.603887688984881 
sluit,3.603887688984881 
speal,3.603887688984881 
cates,3.603887688984881
arson,3.6043196544276457 
senor,3.6043196544276457 
scone,3.6043196544276457 
sport,3.6043196544276457 
coled,3.6043196544276457
coals,3.6043196544276457
artic,3.6047516198704095 
clear,3.6047516198704104
salic,3.605183585313175 
samel,3.605183585313175 
spire,3.605183585313175 
